side,trade_id,regime,entry_signal,entry_time,exit_time,time_in_trade_min,strike,expiry,entry_spot,entry_direction_score,entry_bias,exit_reason,trade_pnl,exit_spot,exit_direction_score,exit_bias,peak_pnl,drawdown_from_peak,cooldown_applied_min,diagnostic_context
BUY,20260401_131305,SELL_CE,SELL_CE,2026-04-01 13:13:05,2026-04-01 13:15:05,2,22850,2026-04-28,22846.15,0.6018,-34.3,HARD_STOP -652.50,-652.5,22886.65,0.2124,13.0,0,652.5,10,entry_d=0.602;exit_d=0.212;entry_bias=-34.30;exit_bias=13.00
BUY,20260401_140705,SELL_PE,SELL_PE,2026-04-01 14:07:05,2026-04-01 14:17:05,10,22700,2026-04-28,22724.25,0.7008,47.9,BREAKEVEN_LOCK -120.00,-120.0,22726.1,0.4448,25.0,405.0,525.0,10,entry_d=0.701;exit_d=0.445;entry_bias=47.90;exit_bias=25.00
BUY,20260401_151105,SELL_PE,SELL_PE,2026-04-01 15:11:05,2026-04-01 15:17:05,6,22700,2026-04-28,22680.45,0.387,37.95,TREND_WEAK d=0.20,-110.0,22675.15,0.202,19.75,82.5,192.5,10,entry_d=0.387;exit_d=0.202;entry_bias=37.95;exit_bias=19.75
BUY,20260402_100016,SELL_CE,SELL_CE,2026-04-02 10:00:16,2026-04-02 10:02:05,2,22200,2026-04-28,22206.85,0.4463,-40.35,HARD_STOP -775.00,-775.0,22228.5,0.6079,-56.05,0,775.0,10,entry_d=0.446;exit_d=0.608;entry_bias=-40.35;exit_bias=-56.05
BUY,20260402_103405,SELL_PE,SELL_PE,2026-04-02 10:34:05,2026-04-02 10:38:05,4,22200,2026-04-28,22211.95,0.3434,25.55,TREND_WEAK d=0.13,170.0,22222.1,0.1337,9.45,170.0,0.0,5,entry_d=0.343;exit_d=0.134;entry_bias=25.55;exit_bias=9.45
BUY,20260402_105805,SELL_PE,SELL_PE,2026-04-02 10:58:05,2026-04-02 11:02:05,4,22250,2026-04-28,22237.05,0.4083,24.6,BREAKEVEN_LOCK -35.00,-35.0,22235.45,0.2005,12.75,290.0,325.0,10,entry_d=0.408;exit_d=0.200;entry_bias=24.60;exit_bias=12.75
BUY,20260402_114906,SELL_PE,SELL_PE,2026-04-02 11:49:06,2026-04-02 12:00:18,11,22250,2026-04-28,22247.3,0.6041,38.3,TRAIL_PROFIT 440.00,1112.5,22282.45,0.7432,56.15,1552.5,440.0,5,entry_d=0.604;exit_d=0.743;entry_bias=38.30;exit_bias=56.15
BUY,20260402_122305,SELL_CE,SELL_CE,2026-04-02 12:23:05,2026-04-02 12:27:05,4,22250,2026-04-28,22249.7,0.8008,-50.45,TREND_WEAK d=0.25,-335.0,22279.2,0.2471,15.9,7.5,342.5,10,entry_d=0.801;exit_d=0.247;entry_bias=-50.45;exit_bias=15.90
BUY,20260402_131905,SELL_PE,SELL_PE,2026-04-02 13:19:05,2026-04-02 13:26:05,7,22400,2026-04-28,22386.65,0.6813,61.45,TRAIL_PROFIT 295.00,1202.5,22429.4,0.3373,26.6,1497.5,295.0,5,entry_d=0.681;exit_d=0.337;entry_bias=61.45;exit_bias=26.60
BUY,20260402_140105,SELL_PE,SELL_PE,2026-04-02 14:01:05,2026-04-02 14:07:05,6,22550,2026-04-28,22544.7,0.7666,56.0,TRAIL_PROFIT 262.50,215.0,22546.45,0.2174,19.4,477.5,262.5,5,entry_d=0.767;exit_d=0.217;entry_bias=56.00;exit_bias=19.40
BUY,20260402_144506,SELL_CE,SELL_CE,2026-04-02 14:45:06,2026-04-02 14:47:06,2,22600,2026-04-28,22577.65,0.8392,-77.0,HARD_STOP -1030.00,-1030.0,22631.15,0.2133,-19.95,0,1030.0,10,entry_d=0.839;exit_d=0.213;entry_bias=-77.00;exit_bias=-19.95
BUY,20260402_150305,SELL_PE,SELL_PE,2026-04-02 15:03:05,2026-04-02 15:14:05,11,22650,2026-04-28,22664.15,0.3455,35.1,TRAIL_PROFIT 370.00,1060.0,22749.2,1.1004,134.3,1430.0,370.0,5,entry_d=0.345;exit_d=1.100;entry_bias=35.10;exit_bias=134.30
BUY,20260406_094511,SELL_CE,SELL_CE,2026-04-06 09:45:11,2026-04-06 09:52:05,7,22600,2026-04-28,22617.05,0.5528,-68.85,TRAIL_PROFIT 307.50,1020.0,22585.5,0.3338,-35.2,1327.5,307.5,5,entry_d=0.553;exit_d=0.334;entry_bias=-68.85;exit_bias=-35.20
BUY,20260406_101506,SELL_PE,SELL_PE,2026-04-06 10:15:06,2026-04-06 10:19:05,4,22650,2026-04-28,22663.9,0.9677,88.45,HARD_STOP -880.00,-880.0,22624.65,0.542,53.55,117.5,997.5,10,entry_d=0.968;exit_d=0.542;entry_bias=88.45;exit_bias=53.55
