2026-03-03 09:27:05 | evaluator | STEP 1: updater start
2026-03-03 09:27:05 | spot_updater | API status 400
2026-03-03 09:27:05 | spot_updater | Candle not yet available: 2026-03-03 09:26:00
2026-03-03 09:27:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:27:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:27:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:27:05 | evaluator | STEP 3: mtm start
2026-03-03 09:27:05 | evaluator | STEP 3: mtm end
2026-03-03 09:27:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:27:05 | evaluator | CYCLE END
2026-03-03 09:27:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:27:05 | evaluator | 
2026-03-03 09:28:05 | evaluator | 
2026-03-03 09:28:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:28:05 | evaluator | CYCLE START
2026-03-03 09:28:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:28:05 | evaluator | STEP 1: updater start
2026-03-03 09:28:05 | spot_updater | API status 400
2026-03-03 09:28:05 | spot_updater | Candle not yet available: 2026-03-03 09:27:00
2026-03-03 09:28:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:28:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:28:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:28:05 | evaluator | STEP 3: mtm start
2026-03-03 09:28:05 | evaluator | STEP 3: mtm end
2026-03-03 09:28:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:28:05 | evaluator | CYCLE END
2026-03-03 09:28:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:28:05 | evaluator | 
2026-03-03 09:29:05 | evaluator | 
2026-03-03 09:29:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:29:05 | evaluator | CYCLE START
2026-03-03 09:29:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:29:05 | evaluator | STEP 1: updater start
2026-03-03 09:29:05 | spot_updater | API status 400
2026-03-03 09:29:05 | spot_updater | Candle not yet available: 2026-03-03 09:28:00
2026-03-03 09:29:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:29:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:29:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:29:05 | evaluator | STEP 3: mtm start
2026-03-03 09:29:05 | evaluator | STEP 3: mtm end
2026-03-03 09:29:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:29:05 | evaluator | CYCLE END
2026-03-03 09:29:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:29:05 | evaluator | 
2026-03-03 09:30:05 | evaluator | 
2026-03-03 09:30:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:30:05 | evaluator | CYCLE START
2026-03-03 09:30:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:30:05 | evaluator | STEP 1: updater start
2026-03-03 09:30:05 | spot_updater | API status 400
2026-03-03 09:30:05 | spot_updater | Candle not yet available: 2026-03-03 09:29:00
2026-03-03 09:30:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:30:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:30:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:30:05 | evaluator | STEP 3: mtm start
2026-03-03 09:30:05 | evaluator | STEP 3: mtm end
2026-03-03 09:30:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:30:05 | evaluator | CYCLE END
2026-03-03 09:30:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:30:05 | evaluator | 
2026-03-03 09:31:05 | evaluator | 
2026-03-03 09:31:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:31:05 | evaluator | CYCLE START
2026-03-03 09:31:05 | evaluator | ------------------------------------------------------------
